,label,0,1,2,3,4
0,tensor(0),tensor(0.7994),tensor(0.1991),tensor(0.0011),tensor(0.0001),tensor(0.0002)
1,tensor(1),tensor(0.7677),tensor(0.2307),tensor(0.0012),tensor(0.0002),tensor(0.0001)
2,tensor(0),tensor(0.8306),tensor(0.1666),tensor(0.0008),tensor(0.0011),tensor(0.0009)
3,tensor(0),tensor(0.7881),tensor(0.2093),tensor(0.0014),tensor(0.0010),tensor(0.0002)
4,tensor(0),tensor(0.7391),tensor(0.2529),tensor(0.0049),tensor(0.0031),tensor(2.7490e-05)
5,tensor(0),tensor(0.8643),tensor(0.1325),tensor(0.0013),tensor(0.0019),tensor(1.8231e-05)
6,tensor(0),tensor(0.9056),tensor(0.0901),tensor(0.0006),tensor(0.0023),tensor(0.0014)
7,tensor(0),tensor(0.8803),tensor(0.1163),tensor(0.0018),tensor(0.0015),tensor(5.5567e-05)
8,tensor(0),tensor(0.8443),tensor(0.1515),tensor(0.0007),tensor(0.0030),tensor(0.0005)
9,tensor(0),tensor(0.8240),tensor(0.1739),tensor(0.0009),tensor(0.0010),tensor(0.0002)
10,tensor(0),tensor(0.7912),tensor(0.2076),tensor(0.0011),tensor(0.0001),tensor(1.1193e-06)
11,tensor(0),tensor(0.8690),tensor(0.1293),tensor(0.0011),tensor(0.0003),tensor(0.0002)
12,tensor(0),tensor(0.6201),tensor(0.3765),tensor(0.0029),tensor(0.0004),tensor(1.9192e-05)
13,tensor(0),tensor(0.7293),tensor(0.2658),tensor(0.0039),tensor(0.0009),tensor(5.6767e-05)
14,tensor(0),tensor(0.8903),tensor(0.1032),tensor(0.0010),tensor(0.0044),tensor(0.0011)
15,tensor(0),tensor(0.8703),tensor(0.1277),tensor(0.0003),tensor(0.0014),tensor(0.0002)
16,tensor(0),tensor(0.7631),tensor(0.2336),tensor(0.0025),tensor(0.0008),tensor(4.4899e-05)
17,tensor(0),tensor(0.7550),tensor(0.2395),tensor(0.0046),tensor(0.0010),tensor(6.5550e-06)
18,tensor(0),tensor(0.8215),tensor(0.1653),tensor(0.0123),tensor(0.0007),tensor(0.0002)
19,tensor(0),tensor(0.7831),tensor(0.1960),tensor(0.0192),tensor(0.0016),tensor(7.3608e-05)
20,tensor(0),tensor(0.8043),tensor(0.1767),tensor(0.0080),tensor(0.0066),tensor(0.0044)
21,tensor(0),tensor(0.8402),tensor(0.1497),tensor(0.0028),tensor(0.0059),tensor(0.0014)
22,tensor(0),tensor(0.8098),tensor(0.1875),tensor(0.0018),tensor(0.0007),tensor(0.0002)
